EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN
DATA=
TIMEZONE_OFFSET=330
302,1461.65,1462.45,1461.05,1461.5
303,1459.95,1461,1459.6,1461
304,1459.6,1460.45,1459.6,1460.45
306,1459.45,1460.6,1459.45,1460.6
307,1461,1461,1459.6,1460.4
308,1461.1,1461.1,1460.15,1460.15
309,1462.1,1463.1,1461.85,1461.85
310,1461.5,1462,1461.5,1462
311,1462,1462,1461,1461.1
312,1463.25,1463.25,1462,1462
313,1462.25,1463,1461.15,1463
314,1468.25,1469,1462.25,1462.25
315,1469.65,1469.65,1467.8,1468.3
316,1468,1469.4,1465.35,1469.4
317,1466.7,1467.95,1466.3,1467.95
318,1467.95,1467.95,1466.55,1467.95
319,1464.5,1467.25,1464,1467.25
320,1463.75,1464.95,1463.55,1464.95
321,1463,1464.95,1461.55,1463.75
322,1464.65,1465.8,1463,1463
323,1467.55,1467.55,1464.3,1464.65
324,1473,1473,1466.8,1467
325,1474,1474.8,1472.65,1474.8
326,1470.15,1474,1470,1474
327,1470,1472,1469.95,1472
328,1470,1470.95,1468.4,1468.45
329,1467,1468.25,1466,1468.25
330,1467.9,1468.5,1466,1467.1
331,1468.1,1474.2,1468.1,1468.6
332,1468.3,1470.65,1468.3,1469.35
333,1469.8,1471.35,1469,1469.65
334,1468.2,1469.75,1467.85,1469.75
335,1467.55,1468.5,1466.1,1467
336,1468.5,1468.5,1467.5,1467.55
337,1471.55,1473.7,1469,1469.85
338,1470.15,1472,1469.6,1472
339,1470.65,1471,1469.65,1469.65
340,1468.1,1470.75,1468.1,1470
341,1467.1,1470,1467.1,1470
342,1468.4,1468.4,1467.1,1467.1
343,1468.15,1468.4,1467.25,1467.25
344,1468,1468.65,1467,1468.2
345,1468,1468.2,1466.8,1466.8
346,1468.3,1468.95,1467.25,1467.25
347,1466.9,1468.3,1466,1468.3
348,1466.65,1467.65,1466.65,1467.65
349,1470.75,1471,1467.5,1468.45
350,1469.75,1471.9,1469.1,1470
351,1468.8,1470.7,1468.7,1470.7
352,1467.2,1469.9,1466.05,1469.9
353,1468.8,1468.8,1465.3,1467.2
354,1467.6,1468.3,1466.1,1468
355,1467.65,1468.75,1466.7,1467.05
356,1470,1470,1467.65,1468.65
357,1467.4,1469,1466,1468.05
358,1468.4,1468.4,1466.9,1466.9
359,1466,1468.8,1466,1468.45
360,1466.15,1467.6,1466,1466.95
361,1467.85,1468.2,1465.65,1466.15
362,1467,1468,1466.35,1466.6
363,1468,1468,1466.15,1466.5
364,1465.65,1468,1465.25,1468
365,1464.45,1466.5,1464,1466.5
366,1466.15,1468,1465.2,1465.2
367,1465.45,1466.1,1465.2,1466.1
368,1464.45,1466.4,1464.4,1466.2
369,1462.8,1465.95,1462.8,1465.95
370,1466.6,1466.8,1463.5,1463.5
371,1466,1466.6,1465.45,1466.5
372,1467,1467,1466,1466.1
373,1466.05,1467.2,1466.05,1467
374,1464.55,1469,1464.55,1466.05
a1433475960,1449.7,1457.95,1447,1456.9
1,1454.1,1454.1,1448.2,1452.6
2,1455,1457.85,1455,1455.25
3,1450.5,1454.3,1449.95,1453
4,1451.35,1451.45,1450.05,1450.05
5,1452.15,1452.4,1451,1452.4
6,1453.95,1454.9,1452.2,1452.2
7,1454.25,1455,1453.45,1454
8,1454.95,1456,1454.35,1454.35
9,1457.2,1458,1454.6,1456
10,1460,1460,1457.25,1457.25
11,1458.7,1460,1458.7,1460
12,1457.45,1459.6,1452.95,1459.6
13,1456.95,1457.65,1455.9,1456.5
14,1453.95,1455.95,1451.6,1455.95
15,1455.95,1457.45,1453.45,1453.45
16,1454.6,1455.8,1454.3,1455
17,1453.45,1455.05,1452,1454.55
18,1454.25,1455.4,1453.4,1453.4
19,1453,1453,1452.05,1452.95
20,1455.75,1455.75,1452.5,1453
21,1456,1457.5,1455,1455
22,1455.8,1457.75,1455.8,1457.4
23,1460.9,1460.9,1455.8,1455.8
24,1456.45,1461.5,1454.7,1460.95
25,1456.5,1457.8,1456.45,1457.8
26,1454.7,1457,1454.7,1456.5
27,1452,1454.75,1452,1454.75
28,1454,1454,1451.2,1451.2
29,1452.25,1453.9,1452.25,1453.9
30,1452.05,1453.95,1452.05,1452.55
31,1454,1454,1453,1453
32,1452.5,1453.8,1452.5,1453.8
33,1451,1452.2,1451,1452.2
34,1449.35,1451,1449.35,1450
35,1449.2,1450.85,1449,1450
36,1450,1450.85,1450,1450.85
37,1450.35,1450.7,1449.1,1450.7
38,1450.45,1450.45,1450.45,1450.45
39,1448.05,1450,1448.05,1450
40,1445.25,1449.7,1445,1448.05
41,1445,1448.05,1445,1446.6
42,1445.95,1446,1444.05,1445.1
43,1447.55,1447.55,1444.35,1444.4
44,1449.85,1449.85,1448,1448
45,1450.1,1451,1449.85,1449.85
46,1450.9,1450.9,1450,1450.1
47,1451,1451,1450,1450.9
48,1450.65,1451.8,1450.4,1450.4
49,1452,1453,1450.75,1451.2
50,1449.95,1451.05,1449.95,1450.95
51,1450.15,1450.2,1449.25,1449.65
52,1450,1450.9,1449.25,1450.9
53,1449.25,1450.35,1449.25,1449.5
54,1447,1449.15,1446,1449.15
55,1446,1447.2,1446,1447.2
56,1446.6,1446.75,1446,1446.75
57,1446.4,1447,1445.5,1447
58,1448.75,1449.05,1446.4,1446.4
59,1449.8,1450.6,1447.35,1448.55
60,1449.75,1449.85,1448,1449.85
61,1449.95,1450.45,1448.5,1449.7
62,1451.35,1451.35,1449.65,1449.9
63,1450.9,1451.75,1449.15,1451.35
64,1450.7,1451.45,1450,1451
65,1451,1451,1449.25,1450.7
66,1448.15,1450.9,1446.95,1450.9
67,1447.5,1448.7,1447.05,1447.25
68,1446.65,1448,1446.35,1447
69,1448.4,1448.55,1447.1,1447.8
70,1446.3,1447.85,1446,1447
71,1446,1447.6,1445.6,1445.6
72,1446.6,1446.95,1445.65,1446
73,1445,1446.85,1445,1445.85
74,1442.75,1445,1442,1445
75,1440.5,1442.75,1440.5,1442.75
76,1440.8,1440.95,1440,1440.2
77,1442.6,1442.6,1439,1439.95
78,1440.55,1442.45,1440.25,1442.1
79,1440.7,1442,1440.7,1441.95
80,1438.2,1440.45,1438.2,1440.45
81,1440,1440.45,1438.55,1438.55
82,1441,1441,1439.8,1439.8
83,1441.5,1441.5,1440.5,1441
84,1441.95,1441.95,1441.5,1441.5
85,1440.6,1442,1440.6,1441.5
86,1440.1,1441,1440.05,1440.05
87,1441,1441,1440.1,1440.1
88,1440,1441,1439.1,1441
89,1441,1441,1439.1,1440
90,1440.45,1440.75,1439.15,1440.75
91,1439.2,1440.45,1439.15,1440.45
92,1440,1440,1439.1,1439.1
93,1440.5,1440.5,1439.1,1439.1
94,1440,1440.75,1439.3,1440.75
95,1440,1440,1440,1440
96,1439.95,1440.5,1439.95,1440.5
97,1440,1440,1440,1440
98,1439.25,1440.9,1439.25,1440.85
99,1439,1440,1439,1439.25
100,1439.85,1439.9,1439,1439
101,1439.9,1439.9,1438.4,1439
102,1435.45,1440,1435.45,1439.9
103,1434,1435.6,1433.05,1435.6
104,1434.1,1434.1,1432,1433
105,1433.05,1434.1,1433,1433.5
106,1437.1,1437.15,1435,1435
107,1436.95,1438.2,1436,1437.25
108,1437.85,1437.85,1435.1,1436.3
109,1438.95,1439.15,1437.95,1437.95
110,1439.15,1439.2,1438,1439.05
111,1436.15,1439,1436.15,1439
112,1437.75,1438.35,1437.7,1437.7
113,1438,1438,1437.95,1437.95
114,1437.7,1437.7,1437.2,1437.5
115,1437.2,1437.85,1437.2,1437.85
116,1436,1437.25,1436,1437.25
117,1436.25,1437.7,1435.8,1436
118,1437.45,1437.95,1436.05,1437.55
119,1437,1437.35,1436.6,1437.3
120,1435,1436.9,1434.5,1436
121,1434.9,1435,1434.9,1434.9
122,1434.15,1434.9,1434.15,1434.9
123,1434.9,1434.9,1434.6,1434.85
124,1434.45,1435,1433.45,1434.15
125,1436,1436.25,1434.45,1434.45
126,1435,1436,1435,1436
127,1435,1435,1434,1434
128,1435,1436.1,1434,1435
129,1435,1435.95,1435,1435
130,1435,1435.8,1435,1435.8
131,1434.8,1435,1434.1,1435
132,1434.5,1434.5,1434,1434.1
133,1434.95,1434.95,1434.8,1434.8
134,1434,1434.5,1434,1434.5
135,1434.95,1434.95,1434.5,1434.5
136,1434.95,1434.95,1434.15,1434.95
137,1434.05,1435.35,1434,1434
138,1434.9,1434.9,1434.1,1434.1
139,1434.9,1434.9,1434,1434
140,1434.25,1434.9,1434.25,1434.9
141,1435.3,1435.3,1434.25,1434.25
142,1435.5,1435.85,1434.25,1434.85
143,1434.4,1435.4,1434.25,1434.25
144,1434.25,1435.4,1434,1434
145,1434,1434.95,1433.95,1434.95
146,1433.5,1434,1433.05,1434
147,1433.9,1433.9,1433.5,1433.5
148,1434,1434,1433.9,1433.9
149,1434,1434,1433.1,1433.1
150,1433.95,1434,1433.95,1434
151,1434,1434,1433.95,1433.95
152,1433,1434.45,1433,1433.95
153,1434,1434,1434,1434
154,1434,1434,1434,1434
155,1434,1434,1434,1434
156,1434,1434,1433.3,1433.55
157,1434,1434,1434,1434
158,1434,1434,1433.55,1433.6
159,1433.1,1434,1433.1,1433.95
160,1433.95,1434,1433.35,1433.95
161,1433.95,1433.95,1433.95,1433.95
162,1433.95,1433.95,1433.35,1433.95
163,1434.6,1434.6,1433.8,1433.95
164,1435.95,1436,1434.6,1434.6
165,1435.5,1436,1435.5,1436
166,1436,1436.5,1435.5,1436
167,1435.5,1436.5,1435.5,1436
168,1436,1436.5,1435.95,1436
169,1436,1436,1435.2,1436
170,1435.1,1436,1435.1,1435.4
171,1434.95,1435.45,1434.5,1435
172,1434.9,1435,1434.9,1435
173,1435.1,1436,1434,1434.9
174,1435.5,1435.8,1434.35,1435
175,1435.45,1435.5,1435.05,1435.5
176,1435.9,1435.9,1434.5,1435.45
177,1436,1436,1435.85,1435.9
178,1436.15,1436.8,1436,1436
179,1436.25,1436.5,1435.6,1435.6
180,1436.25,1436.8,1435.6,1435.95
181,1436,1436,1435.5,1435.6
182,1435.6,1436.4,1435.6,1436
183,1436,1436.55,1436,1436.25
184,1435.75,1436.45,1435.75,1436.45
185,1436,1436,1435.75,1436
186,1436,1436,1435.55,1436
187,1433.05,1436,1433.05,1436
188,1434,1434,1433.1,1433.45
189,1433.5,1435.65,1433.5,1434.8
190,1434,1434,1433.95,1434
191,1433.75,1434.5,1433.75,1433.95
192,1433.5,1434.45,1433.5,1434.45
193,1434,1434,1433.5,1434
194,1433.25,1434,1433.05,1433.9
195,1433.25,1434,1433.25,1433.55
196,1433.05,1433.95,1433.05,1433.25
197,1433.15,1434,1433.05,1433.6
198,1433.85,1434,1433.15,1433.15
199,1434,1434,1433.7,1433.75
200,1434,1434.4,1433.85,1433.85
201,1434,1434.4,1433.85,1434
202,1434.4,1434.4,1434,1434
203,1434,1434,1434,1434
204,1433.05,1433.9,1433.05,1433.9
205,1433.1,1433.1,1433.05,1433.1
206,1430,1433.1,1430,1433.1
207,1433,1433,1430,1430
208,1431.25,1432.7,1431.25,1431.4
209,1433,1433,1431.9,1432
210,1432.95,1433.1,1431.8,1433
211,1431.25,1432.5,1431.25,1432
212,1432,1432.35,1431.95,1431.95
213,1432.5,1432.5,1432,1432
214,1431.4,1433,1431.35,1432.5
215,1432.85,1432.85,1432,1432.05
216,1432,1433,1431.45,1432
217,1431.95,1432.45,1431.45,1432
218,1432.4,1432.4,1431.85,1432
219,1432.4,1432.4,1431.85,1431.85
220,1432,1432.4,1432,1432
221,1432.8,1432.8,1432,1432.4
222,1433.3,1434,1432,1432
223,1433.3,1433.95,1433.3,1433.3
224,1433.9,1434,1433.3,1433.95
225,1434.5,1434.5,1433.35,1433.9
226,1433.95,1434.25,1433.95,1434
227,1433.9,1433.9,1433.5,1433.5
228,1434,1435,1434,1435
229,1433.9,1434,1433.8,1434
230,1433.5,1434.8,1433.5,1433.7
231,1434,1434.05,1433.5,1433.5
232,1434.5,1434.5,1433.65,1433.95
233,1435,1435,1434,1434.5
234,1435,1435.5,1434.95,1435.5
235,1435,1435,1435,1435
236,1434.5,1434.95,1433.65,1434.95
237,1434,1434.85,1434,1434
238,1434,1434.85,1434,1434.85
239,1434,1434.95,1434,1434
240,1434,1434.65,1433.95,1433.95
241,1434.7,1435,1433.95,1434
242,1434.05,1435,1433.65,1435
243,1433.65,1435,1433.6,1435
244,1435.1,1435.1,1433.6,1433.6
245,1434.65,1434.65,1434,1434
246,1433.05,1433.9,1432.95,1433.9
247,1433.5,1434.25,1433.05,1434
248,1432,1434,1432,1434
249,1431.85,1433.25,1431.85,1431.85
250,1433.25,1433.25,1431.85,1431.85
251,1436.1,1436.1,1433,1433
252,1434.45,1435.65,1434.25,1435.4
253,1435.3,1435.5,1434.4,1435.5
254,1434.5,1435.45,1434.5,1435.3
255,1436.95,1436.95,1434.4,1434.95
256,1437.3,1440.65,1435.65,1436.45
257,1436.65,1436.8,1435.55,1435.55
258,1436.65,1436.75,1436,1436.6
259,1435.9,1436,1435.9,1436
260,1435.95,1435.95,1435.25,1435.25
261,1436,1436.95,1435.75,1435.75
262,1434.65,1436,1434.65,1436
263,1435.55,1435.75,1435.55,1435.75
264,1435.6,1435.6,1435,1435
265,1435,1435.6,1434.8,1435.05
266,1435.4,1435.75,1435,1435
267,1435,1435,1435,1435
268,1434.9,1435.35,1434.9,1435.35
269,1433.65,1434.7,1433.65,1434.7
270,1434,1435.95,1432.8,1433.7
271,1435.05,1436.35,1433.7,1435.15
